Pair,Session,LexicalRateTraining,LexicalLevelTraining,SemanticLevelTraining,LexicalRateTest,LexicalLevelTest,SemanticLevelTest,PerformanceTrainingP,PerformanceTraining,PerformanceTestP,PerformanceTest,PerformanceCycleP,PerformanceCycle,Effort,Motivation
20,3,0.13840892366642835,-0.5253134874159868,0.09107807989825348,-0.12171650337247729,-0.5487135619201731,-0.9872912983556842,0.23021279679561457,0.53125,-1.3186902106141976,0.375,0.545763314410769,1,1,1
21,1,-0.5885872150545202,0.19622550757542243,-1.8482265480396356,-0.6214112141470831,0.031055439786355225,-2.6468622771772323,-0.8767430044231829,0.6145833333333334,0.5566897847201997,0.75,0.5105306266315331,0,3,3
21,1,-0.5885872150545202,0.19622550757542243,-1.8482265480396356,-0.6214112141470831,0.031055439786355225,-2.6468622771772323,-0.8767430044231829,0.6145833333333334,0.5566897847201997,0.75,0.5105306266315331,0,4,4
21,2,-0.7031151711942378,0.7132648280848514,-2.2332505109145018,-0.3994812482749344,0.40938941457368766,-1.854562288103749,-1.1820945162024448,0.6458333333333334,-0.3377584711024162,0.625,0.5308060981998268,1,3,3
21,2,-0.7031151711942378,0.7132648280848514,-2.2332505109145018,-0.3994812482749344,0.40938941457368766,-1.854562288103749,-1.1820945162024448,0.6458333333333334,-0.3377584711024162,0.625,0.5308060981998268,1,4,4
21,3,-0.7916138427169608,0.48763200388317735,-2.6250044414563343,-0.0047147034680224565,0.36058332303177965,-0.16995902585795253,-0.6594649079483969,0.4166666666666667,-0.6191113810550404,0.375,0.515421705714886,1,3,3
21,3,-0.7916138427169608,0.48763200388317735,-2.6250044414563343,-0.0047147034680224565,0.36058332303177965,-0.16995902585795253,-0.6594649079483969,0.4166666666666667,-0.6191113810550404,0.375,0.515421705714886,1,4,4
22,1,0.5280841796802613,-0.3698586138753812,1.6284916956176172,0.08950538631584527,-0.03631518715709175,0.36922307349443123,-4.159158227289484,0.3854166666666667,0.02978327852524404,0.5,0.4473253484501978,1,5,3
22,1,0.5280841796802613,-0.3698586138753812,1.6284916956176172,0.08950538631584527,-0.03631518715709175,0.36922307349443123,-4.159158227289484,0.3854166666666667,0.02978327852524404,0.5,0.4473253484501978,1,6,2
22,2,0.30651131757392813,-0.23146425518426422,0.9344150534760063,0.1216451822539708,-0.1777650608117539,0.7158314862999146,-0.668341280437259,0.6145833333333334,0.6590049268894612,0.875,0.5238694734325687,1,5,3
22,2,0.30651131757392813,-0.23146425518426422,0.9344150534760063,0.1216451822539708,-0.1777650608117539,0.7158314862999146,-0.668341280437259,0.6145833333333334,0.6590049268894612,0.875,0.5238694734325687,1,6,2
22,3,0.2130639478880253,-0.2601831776947655,0.6994647111425764,0.23526706700223696,-0.3660984850372586,1.7086411350398127,0.1725491267594511,0.5625,0.8383864320735235,0.875,0.45969179425247114,0,5,3
22,3,0.2130639478880253,-0.2601831776947655,0.6994647111425764,0.23526706700223696,-0.3660984850372586,1.7086411350398127,0.1725491267594511,0.5625,0.8383864320735235,0.875,0.45969179425247114,0,6,2
23,1,NA,NA,NA,NA,NA,NA,0.5021312791293049,0.9375,0.36744188171563474,0.75,0.5515670940042784,1,2,1
23,1,NA,NA,NA,NA,NA,NA,0.5021312791293049,0.9375,0.36744188171563474,0.75,0.5515670940042784,1,3,4
